transaction_id,customer_id,product_category,purchase_amount,payment_method,purchase_date
T000072,C8695,Clothing,52.76,PayPal,3/2/2025
T000073,C3808,Beauty,11.49,Crypto,11/2/2024
T000074,C5001,Beauty,220.31,Crypto,4/12/2025
T000075,C8310,Electronics,19.21,PayPal,7/16/2024
T000076,C9631,Electronics,56.59,Crypto,8/11/2024
T000077,C9335,Beauty,57.04,Credit Card,2/17/2025
T000078,C9424,Toys,271.18,Crypto,9/24/2024
T000079,C7973,Toys,79.15,Gift Card,3/2/2025
T000080,C8906,Beauty,122.22,PayPal,7/7/2024
T000081,C7825,Beauty,32.57,Credit Card,7/8/2024
T000082,C4306,Electronics,11.07,Crypto,7/24/2024
T000083,C3155,Electronics,65.48,Credit Card,4/3/2025
T000084,C9871,Electronics,45.87,Crypto,4/14/2025
T000085,C5665,Clothing,149.28,Crypto,12/19/2024
T000086,C3538,Clothing,102.18,Credit Card,10/11/2024
T000087,C6456,Beauty,7.27,Credit Card,6/28/2024
T000088,C3502,Beauty,46.4,Credit Card,11/12/2024
T000089,C6918,Clothing,3.12,Crypto,6/22/2025
T000090,C3406,Electronics,157.43,Gift Card,3/8/2025
T000091,C4619,Electronics,74.62,Crypto,2/21/2025
T000092,C9330,Toys,34.97,Credit Card,9/15/2024
T000093,C8974,Beauty,28.81,Crypto,9/15/2024
T000094,C6014,Clothing,23.87,Credit Card,4/2/2025
T000095,C6293,Home,18.79,Crypto,1/25/2025
T000096,C9974,Clothing,96.98,Gift Card,9/5/2024
T000097,C8739,Beauty,27.81,Credit Card,12/18/2024
T000098,C5532,Home,0.65,PayPal,3/2/2025
T000099,C4030,Toys,59.65,Crypto,4/27/2025
T000100,C4970,Clothing,20.83,PayPal,7/22/2024
T000101,C4477,Home,98.43,Credit Card,8/26/2024
T000102,C6606,Toys,49.87,Crypto,12/25/2024
T000103,C6479,Home,104.39,Credit Card,9/28/2024
T000104,C4674,Home,18.47,Crypto,4/8/2025
T000105,C3889,Beauty,16.86,Credit Card,10/3/2024
T000106,C9145,Beauty,0.05,PayPal,4/10/2025
T000107,C7657,Clothing,187.06,Crypto,7/12/2024
T000108,C7803,Toys,1.4,Crypto,3/4/2025
T000109,C2775,Toys,134.44,Credit Card,7/31/2024
T000110,C2499,Home,34.33,Crypto,11/29/2024
T000111,C3909,Home,26.15,PayPal,7/27/2024
T000112,C9154,Clothing,322.25,Crypto,4/13/2025
T000113,C9694,Beauty,4.55,Gift Card,9/8/2024
T000114,C9047,Electronics,39.19,Gift Card,11/23/2024
T000115,C5663,Clothing,13.6,Crypto,7/26/2024
T000116,C2499,Home,21.11,PayPal,12/19/2024
T000117,C9628,Home,32.24,PayPal,4/9/2025
T000118,C2829,Beauty,173.35,Crypto,12/1/2024
T000119,C8347,Clothing,117.36,Gift Card,12/6/2024
T000120,C2691,Beauty,13.76,Crypto,1/8/2025
T000121,C4735,Clothing,57.67,Gift Card,2/1/2025
T000122,C7531,Home,50.25,Gift Card,8/14/2024
T000123,C7054,Electronics,30.35,PayPal,9/10/2024
T000124,C4742,Toys,55.65,Gift Card,8/12/2024
T000125,C8866,Toys,30.02,Crypto,1/28/2025
T000126,C9732,Home,47.34,Gift Card,7/17/2024
T000127,C8591,Toys,0.31,Crypto,7/14/2024
T000128,C7372,Beauty,22.51,Gift Card,3/10/2025
T000129,C2428,Electronics,13.74,PayPal,5/14/2025
T000130,C4361,Home,81.79,Crypto,6/20/2025
T000131,C8978,Electronics,35.12,PayPal,12/30/2024
T000132,C9254,Toys,178.9,Crypto,1/4/2025
T000133,C9371,Electronics,44.29,PayPal,9/13/2024
T000134,C8666,Clothing,91.62,Crypto,2/14/2025
T000135,C1184,Clothing,12.1,Credit Card,7/17/2024
T000136,C8116,Electronics,38.69,Gift Card,10/3/2024
T000137,C7748,Electronics,54.68,Credit Card,1/21/2025
T000138,C6478,Toys,58.77,Gift Card,7/30/2024
T000139,C7644,Electronics,3.54,PayPal,1/31/2025
T000140,C9796,Toys,10.24,PayPal,9/19/2024
T000141,C8502,Electronics,49.56,Gift Card,12/25/2024
T000142,C9963,Beauty,42.48,Crypto,10/21/2024
T000143,C4585,Home,6.74,Crypto,5/28/2025
T000144,C2750,Electronics,20.52,Crypto,10/31/2024
T000145,C4946,Clothing,183.72,Gift Card,9/21/2024
T000146,C6160,Home,99.81,Gift Card,10/18/2024
T000147,C9141,Clothing,65.14,Gift Card,9/14/2024
T000148,C5269,Beauty,64.66,Gift Card,1/26/2025
T000149,C3231,Toys,77.82,Credit Card,11/6/2024
T000150,C2192,Home,155.89,Crypto,12/14/2024
T000151,C4543,Clothing,57.48,Credit Card,8/31/2024
T000152,C6605,Clothing,11.9,Crypto,12/27/2024
T000153,C3141,Home,111.06,PayPal,7/22/2024
T000154,C3137,Beauty,152.29,Crypto,9/27/2024
T000155,C8787,Beauty,8.7,Crypto,9/7/2024
T000156,C1631,Beauty,97.74,Crypto,3/18/2025
T000157,C7829,Home,9.84,Credit Card,1/11/2025
T000158,C4761,Home,158.3,Gift Card,2/5/2025
T000159,C8430,Clothing,42.2,Gift Card,5/16/2025
T000160,C2029,Electronics,134.94,Credit Card,9/28/2024
T000161,C2161,Beauty,72.49,Crypto,12/10/2024
T000162,C2886,Clothing,139.76,Crypto,5/25/2025
T000163,C5812,Beauty,25.45,Crypto,4/22/2025
T000164,C4476,Beauty,15.32,Credit Card,9/24/2024
T000165,C1101,Toys,42.35,Gift Card,6/20/2025
T000166,C3309,Toys,28.96,Gift Card,6/21/2025
T000167,C6625,Electronics,8.09,Gift Card,8/23/2024
T000168,C2424,Toys,44.98,Gift Card,7/15/2024
T000169,C3592,Beauty,178.78,Gift Card,5/10/2025
T000170,C8793,Home,16.63,PayPal,5/5/2025
T000171,C9420,Beauty,54.67,Crypto,7/26/2024
T000172,C5751,Electronics,49.07,Crypto,5/24/2025
T000173,C7623,Beauty,162.39,Credit Card,9/5/2024
T000174,C3411,Electronics,354.76,Credit Card,5/23/2025
T000175,C5446,Electronics,86.92,PayPal,6/18/2025
T000176,C8780,Toys,1.4,Credit Card,1/20/2025
T000177,C9024,Home,96.32,Gift Card,1/15/2025
T000178,C2720,Clothing,55.2,Crypto,8/7/2024
T000179,C1235,Clothing,66.19,Crypto,4/2/2025
T000180,C9865,Home,35.15,Credit Card,6/12/2025
T000181,C8439,Electronics,58.81,Gift Card,7/8/2024
T000182,C8482,Electronics,35.94,Gift Card,4/21/2025
T000183,C7778,Clothing,137.27,Gift Card,12/23/2024
T000184,C1483,Beauty,9.01,PayPal,2/4/2025
T000185,C4905,Toys,4.63,Credit Card,5/19/2025
T000186,C3790,Beauty,120.43,Crypto,10/27/2024
T000187,C8589,Beauty,29.9,Credit Card,1/16/2025
T000188,C1128,Toys,142.01,PayPal,6/4/2025
T000189,C1798,Beauty,29.39,Credit Card,7/15/2024
T000190,C7505,Home,0.37,Gift Card,3/11/2025
T000191,C3993,Clothing,19.87,Gift Card,12/28/2024
T000192,C8963,Beauty,108.43,Crypto,10/6/2024
T000193,C3576,Home,20.1,Crypto,7/22/2024
T000194,C9808,Electronics,18.96,Gift Card,7/14/2024
T000195,C5400,Beauty,80.76,PayPal,10/31/2024
T000196,C1324,Toys,281.68,Credit Card,6/29/2024
T000197,C8650,Beauty,19.76,Gift Card,2/5/2025
T000198,C2814,Home,82.63,Credit Card,12/20/2024
T000199,C5081,Home,22.2,Gift Card,12/29/2024
T000200,C9974,Electronics,0.39,Credit Card,9/7/2024
T000201,C1922,Clothing,50.28,Gift Card,8/16/2024
T000202,C8799,Home,48.93,PayPal,11/10/2024
T000203,C3058,Clothing,97.34,PayPal,7/1/2024
T000204,C3462,Beauty,48.72,PayPal,4/10/2025
T000205,C9399,Beauty,35.34,Credit Card,12/20/2024
T000206,C4129,Toys,9.56,Credit Card,10/17/2024
T000207,C7676,Beauty,120.4,Gift Card,8/26/2024
T000208,C7459,Electronics,67.43,Crypto,1/14/2025
T000209,C8515,Home,37.92,Credit Card,1/29/2025
T000210,C6701,Clothing,293.99,Credit Card,1/16/2025
T000211,C1432,Beauty,177.67,Gift Card,12/28/2024
T000212,C4449,Toys,12.42,Crypto,6/28/2024
T000213,C7476,Clothing,43.06,Gift Card,3/26/2025
T000214,C4811,Toys,5.11,PayPal,1/8/2025
T000215,C5794,Home,34.6,PayPal,7/22/2024
T000216,C4680,Toys,1.61,Credit Card,5/23/2025
T000217,C1936,Clothing,55.49,Gift Card,8/11/2024
T000218,C3068,Clothing,62.09,PayPal,4/30/2025
T000219,C3613,Electronics,118.46,Crypto,8/26/2024
T000220,C7240,Electronics,54.17,PayPal,3/13/2025
T000221,C6466,Clothing,22.67,Crypto,1/19/2025
T000222,C2557,Toys,26.99,Credit Card,4/10/2025
T000223,C8498,Home,157.23,Crypto,9/28/2024
T000224,C7111,Electronics,24.45,Credit Card,12/17/2024
T000225,C5405,Clothing,6.14,Crypto,7/12/2024
T000226,C9910,Toys,74.2,Crypto,8/4/2024
T000227,C8944,Toys,300.35,Credit Card,11/16/2024
T000228,C3689,Clothing,10.51,Gift Card,12/15/2024
T000229,C1850,Home,109.05,Crypto,1/8/2025
T000230,C6620,Clothing,5.05,PayPal,12/28/2024
T000231,C9563,Electronics,236.66,PayPal,8/31/2024
T000232,C5288,Home,37.08,Credit Card,5/28/2025
T000233,C5241,Beauty,17.26,Credit Card,11/12/2024
T000234,C2588,Clothing,20.7,PayPal,6/7/2025
T000235,C2216,Clothing,23.3,Crypto,11/20/2024
T000236,C9607,Electronics,23.38,Gift Card,9/20/2024
T000237,C5381,Toys,92.36,Crypto,12/8/2024
T000238,C5579,Home,631.94,Credit Card,12/14/2024
T000239,C5779,Electronics,72.75,Crypto,1/8/2025
T000240,C2298,Beauty,81.12,PayPal,10/28/2024
T000241,C9461,Home,81.62,Gift Card,8/23/2024
T000242,C4768,Clothing,15.35,Credit Card,4/19/2025
T000243,C7227,Clothing,219.77,Gift Card,12/1/2024
T000244,C4138,Beauty,6.9,Credit Card,5/12/2025
T000245,C7626,Beauty,163.51,Crypto,10/1/2024
T000246,C1602,Toys,6.54,Gift Card,3/3/2025
T000247,C6191,Electronics,24.86,Crypto,12/8/2024
T000248,C8565,Beauty,95.46,PayPal,9/21/2024
T000249,C5717,Electronics,102.12,Gift Card,1/14/2025
T000250,C2730,Clothing,137.3,PayPal,5/5/2025
T000251,C3693,Beauty,2.15,PayPal,5/20/2025
T000252,C2549,Home,94.84,PayPal,11/22/2024
T000253,C2034,Clothing,29.48,Credit Card,7/9/2024
T000254,C9296,Clothing,44.23,Crypto,12/5/2024
T000255,C3238,Home,70.83,Gift Card,1/11/2025
T000256,C9389,Beauty,230.98,Credit Card,8/8/2024
T000257,C4135,Home,5.78,Gift Card,3/1/2025
T000258,C6784,Beauty,52.53,Gift Card,4/24/2025
T000259,C4585,Clothing,0.15,Crypto,2/5/2025
T000260,C8294,Toys,42.63,Crypto,9/19/2024
T000261,C9454,Clothing,6.55,Credit Card,8/25/2024
T000262,C6196,Home,306.74,PayPal,6/29/2024
T000263,C4680,Electronics,23.08,Credit Card,4/4/2025
T000264,C1811,Beauty,193.94,Crypto,7/12/2024
T000265,C5187,Clothing,18.14,Crypto,5/25/2025
T000266,C1826,Clothing,23.12,PayPal,10/29/2024
T000267,C9943,Toys,17.84,PayPal,4/25/2025
T000268,C8873,Toys,47.52,PayPal,5/20/2025
T000269,C2731,Clothing,12.93,PayPal,10/28/2024
T000270,C3376,Clothing,1.49,PayPal,2/14/2025
T000271,C7086,Toys,5.86,Crypto,7/7/2024
T000272,C1737,Toys,12.91,PayPal,5/28/2025
T000273,C9095,Toys,27.27,PayPal,1/20/2025
T000274,C7965,Clothing,58.75,Gift Card,3/8/2025
T000275,C6357,Clothing,174.95,Credit Card,2/13/2025
T000276,C3614,Beauty,145.56,Credit Card,1/7/2025
T000277,C4328,Electronics,36.68,Credit Card,11/11/2024
T000278,C1561,Beauty,40.03,Credit Card,10/23/2024
T000279,C1371,Beauty,52.29,Credit Card,7/23/2024
T000280,C2173,Beauty,132.27,Credit Card,10/7/2024
T000281,C1322,Home,78.31,PayPal,2/13/2025
T000282,C7424,Clothing,78.93,Gift Card,12/11/2024
T000283,C9510,Beauty,114.89,PayPal,9/5/2024
T000284,C5050,Toys,100.94,Gift Card,12/16/2024
T000285,C6807,Toys,81.39,Gift Card,6/12/2025
T000286,C8781,Beauty,32.15,PayPal,5/28/2025
T000287,C3606,Beauty,77.6,Crypto,1/17/2025
T000288,C5431,Electronics,11.25,Credit Card,12/11/2024
T000289,C9049,Toys,137.11,Crypto,4/18/2025
T000290,C9898,Clothing,106.46,Gift Card,3/15/2025
T000291,C6739,Electronics,30.24,PayPal,7/15/2024
T000292,C9226,Beauty,39.78,Credit Card,8/24/2024
T000293,C9338,Clothing,187.09,Gift Card,6/18/2025
T000294,C1809,Toys,16.67,Credit Card,8/9/2024
T000295,C7333,Toys,173.41,Crypto,1/28/2025
T000296,C1874,Electronics,98.49,Gift Card,9/14/2024
T000297,C2576,Toys,19.4,Crypto,5/27/2025
T000298,C4529,Clothing,319.46,PayPal,7/31/2024
T000299,C6740,Electronics,17.47,Crypto,3/5/2025
T000300,C7034,Toys,87.99,Credit Card,6/17/2025
T000301,C9970,Clothing,47.27,Crypto,7/19/2024
T000302,C1048,Home,13.04,Credit Card,8/24/2024
T000303,C7815,Beauty,68.14,Gift Card,2/25/2025
T000304,C5020,Toys,94.85,Gift Card,8/19/2024
T000305,C8007,Clothing,123.63,Gift Card,2/14/2025
T000306,C3923,Home,31.64,PayPal,6/4/2025
T000307,C3301,Electronics,53.2,Crypto,9/7/2024
T000308,C1436,Clothing,4.89,Credit Card,12/28/2024
T000309,C1569,Electronics,74.92,Crypto,10/16/2024
T000310,C2143,Electronics,115.44,PayPal,9/7/2024
T000311,C2577,Clothing,73.06,Gift Card,4/24/2025
T000312,C8492,Electronics,63,Crypto,4/25/2025
T000313,C5082,Home,10.16,PayPal,7/9/2024
T000314,C1116,Home,18.96,Gift Card,12/5/2024
T000315,C5037,Home,151.66,Credit Card,3/1/2025
T000316,C5860,Beauty,48.13,PayPal,9/1/2024
T000317,C8251,Toys,272.31,Crypto,3/25/2025
T000318,C6495,Home,29.04,Credit Card,8/13/2024
T000319,C5372,Home,11.03,Credit Card,7/6/2024
T000320,C7948,Beauty,180.55,PayPal,9/2/2024
T000321,C9902,Electronics,83.07,Credit Card,7/18/2024
T000322,C1574,Clothing,25.55,PayPal,10/5/2024
T000323,C6661,Toys,5.25,Credit Card,4/15/2025
T000324,C2844,Beauty,136.16,Gift Card,5/8/2025
T000325,C6108,Clothing,101.97,PayPal,12/31/2024
T000326,C9872,Beauty,5.95,PayPal,4/14/2025
T000327,C8381,Home,51.36,Credit Card,9/3/2024
T000328,C7801,Clothing,3.76,PayPal,10/27/2024
T000329,C3094,Toys,14.92,PayPal,10/23/2024
T000330,C5083,Toys,237.94,PayPal,4/30/2025
T000331,C3852,Clothing,14.09,Crypto,4/27/2025
T000332,C5774,Beauty,52.9,PayPal,6/25/2025
T000333,C8940,Electronics,71.59,Credit Card,8/30/2024
T000334,C8539,Electronics,54.98,Gift Card,12/24/2024
T000335,C8776,Home,66.46,Crypto,11/7/2024
T000336,C8087,Electronics,10.81,Crypto,1/12/2025
T000337,C7182,Clothing,128.5,Crypto,4/15/2025
T000338,C7180,Toys,14.34,Crypto,8/21/2024
T000339,C3758,Electronics,59.71,Credit Card,10/30/2024
T000340,C7713,Home,41.5,PayPal,9/24/2024
T000341,C8133,Toys,150.62,PayPal,2/21/2025
T000342,C3546,Home,0.53,Gift Card,11/1/2024
T000343,C7883,Home,4.5,Credit Card,10/16/2024
T000344,C5876,Toys,58.23,Crypto,1/8/2025
T000345,C9923,Electronics,4.24,Gift Card,8/14/2024
T000346,C1337,Clothing,49.15,Crypto,10/18/2024
T000347,C5579,Clothing,17.66,Crypto,12/16/2024
T000348,C1077,Toys,125.82,Crypto,12/13/2024
T000349,C2712,Toys,66.61,Credit Card,1/5/2025
T000350,C4534,Electronics,34,Gift Card,12/18/2024
T000351,C7804,Clothing,27.22,Crypto,8/30/2024
T000352,C4697,Home,36.84,Crypto,12/12/2024
T000353,C9016,Home,89.82,Crypto,1/23/2025
T000354,C9656,Toys,1.32,Crypto,3/28/2025
T000355,C2371,Toys,22.32,Gift Card,9/23/2024
T000356,C3878,Beauty,28.65,Crypto,9/27/2024
T000357,C5913,Electronics,157.89,Credit Card,1/13/2025
T000358,C4789,Home,20.59,Credit Card,10/30/2024
T000359,C4087,Toys,18.02,Crypto,12/2/2024
T000360,C2285,Electronics,99.28,Crypto,9/9/2024
T000361,C6710,Home,106.44,Credit Card,6/22/2025
T000362,C3060,Electronics,55.06,Crypto,3/22/2025
T000363,C7622,Clothing,43.5,Credit Card,2/14/2025
T000364,C5713,Toys,1.35,Crypto,12/21/2024
T000365,C8510,Home,34.07,Gift Card,10/8/2024
T000366,C2513,Electronics,57.51,Gift Card,12/10/2024
T000367,C8547,Home,11.63,Gift Card,6/23/2025
T000368,C6399,Toys,7.8,Crypto,10/16/2024
T000369,C2742,Home,61.35,PayPal,6/11/2025
T000370,C6327,Electronics,30.76,PayPal,7/28/2024
T000371,C7760,Home,4.78,PayPal,11/8/2024
T000372,C3817,Beauty,35.59,Credit Card,1/12/2025
T000373,C9158,Clothing,4.69,PayPal,8/3/2024
T000374,C2705,Beauty,118.1,PayPal,5/20/2025
T000375,C5544,Clothing,27.03,Gift Card,7/7/2024
T000376,C4017,Beauty,10.94,PayPal,1/4/2025
T000377,C5215,Electronics,85.16,Crypto,10/30/2024
T000378,C1537,Home,70.73,PayPal,5/28/2025
T000379,C9715,Home,2.46,Crypto,3/6/2025
T000380,C6908,Toys,71.97,Gift Card,10/10/2024
T000381,C5485,Toys,113.35,Credit Card,1/4/2025
T000382,C5642,Home,53.83,PayPal,6/26/2025
T000383,C7606,Home,49.91,Gift Card,8/21/2024
T000384,C8440,Toys,53.39,Credit Card,12/12/2024
T000385,C2229,Clothing,217.31,PayPal,6/17/2025
T000386,C8331,Beauty,73.45,Crypto,5/17/2025
T000387,C9634,Clothing,58.1,Credit Card,6/3/2025
T000388,C5264,Clothing,81.69,PayPal,6/20/2025
T000389,C9856,Clothing,99.47,PayPal,9/3/2024
T000390,C8300,Home,14.3,PayPal,8/16/2024
T000391,C5913,Toys,100.22,Credit Card,1/14/2025
T000392,C5635,Electronics,178.42,Gift Card,8/28/2024
T000393,C4204,Home,8.34,Credit Card,5/18/2025
T000394,C1552,Beauty,127.67,PayPal,3/13/2025
T000395,C8453,Toys,74.07,Gift Card,8/11/2024
T000396,C6143,Beauty,162.18,Gift Card,9/2/2024
T000397,C6460,Beauty,374.42,PayPal,5/28/2025
T000398,C6046,Beauty,1.41,Gift Card,4/30/2025
T000399,C7165,Toys,40.53,PayPal,4/11/2025
T000400,C1139,Beauty,31.18,PayPal,3/16/2025
T000401,C9553,Electronics,261.49,Gift Card,12/12/2024
T000402,C7769,Clothing,6.55,Gift Card,9/6/2024
T000403,C2249,Home,10.85,Gift Card,2/25/2025
T000404,C1006,Clothing,122.94,Credit Card,1/3/2025
T000405,C5995,Home,45.9,Gift Card,12/25/2024
T000406,C6908,Home,26.29,Credit Card,4/13/2025
T000407,C7936,Clothing,38.34,Credit Card,5/20/2025
T000408,C8549,Toys,100.27,Gift Card,7/13/2024
T000409,C5598,Beauty,42.74,Crypto,4/27/2025
T000410,C3547,Home,0.59,PayPal,2/17/2025
T000411,C1341,Toys,24.22,Crypto,5/16/2025
T000412,C9969,Home,53.52,Crypto,1/3/2025
T000413,C2759,Electronics,63.6,Crypto,1/3/2025
T000414,C1701,Home,22.04,Credit Card,10/12/2024
T000415,C9122,Clothing,116.05,Gift Card,7/8/2024
T000416,C9845,Toys,15.28,Gift Card,12/2/2024
T000417,C2457,Home,84.84,Crypto,2/2/2025
T000418,C3444,Electronics,148.42,Credit Card,6/11/2025
T000419,C7745,Electronics,70.07,Crypto,11/11/2024
T000420,C3859,Home,10.67,Gift Card,8/31/2024
T000421,C4966,Toys,52.86,Gift Card,12/25/2024
T000422,C5137,Electronics,85.23,Crypto,9/26/2024
T000423,C4167,Clothing,71.98,Credit Card,8/5/2024
T000424,C5497,Home,0.73,Gift Card,5/30/2025
T000425,C7421,Toys,27.62,Crypto,7/20/2024
T000426,C9269,Home,5.58,Gift Card,12/15/2024
T000427,C1119,Beauty,48.35,Crypto,4/9/2025
T000428,C9437,Toys,46.93,Gift Card,3/4/2025
T000429,C3616,Beauty,23.36,Gift Card,4/9/2025
T000430,C8098,Electronics,234.17,Crypto,12/30/2024
T000431,C9279,Toys,22.69,Crypto,3/3/2025
T000432,C3698,Electronics,280.43,Gift Card,3/23/2025
T000433,C5317,Toys,12.48,PayPal,8/26/2024
T000434,C8311,Electronics,158.18,Credit Card,11/18/2024
T000435,C4033,Toys,11.43,Gift Card,3/17/2025
T000436,C8976,Beauty,20.5,Credit Card,10/13/2024
T000437,C7441,Home,261.04,Crypto,11/21/2024
T000438,C2272,Toys,15.99,Gift Card,1/4/2025
T000439,C5754,Toys,69.27,Crypto,7/4/2024
T000440,C5212,Electronics,16.3,Gift Card,9/9/2024
T000441,C9423,Clothing,41.39,PayPal,3/13/2025
T000442,C1663,Home,54.82,Gift Card,9/15/2024
T000443,C2632,Clothing,230.46,Gift Card,8/31/2024
T000444,C1672,Toys,49.64,Gift Card,9/15/2024
T000445,C3704,Electronics,53.2,PayPal,7/18/2024
T000446,C9223,Home,77.39,Gift Card,12/16/2024
T000447,C8315,Toys,14.62,PayPal,4/29/2025
T000448,C6381,Home,15.45,Gift Card,2/9/2025
T000449,C3677,Beauty,126.69,Crypto,1/1/2025
T000450,C3979,Clothing,37.71,Crypto,2/12/2025
T000451,C8807,Clothing,77.89,Credit Card,2/22/2025
T000452,C9348,Electronics,18.27,Gift Card,1/27/2025
T000453,C4859,Toys,58.39,Crypto,2/11/2025
T000454,C6796,Toys,58.95,Gift Card,11/7/2024
T000455,C6712,Toys,93.55,PayPal,7/27/2024
T000456,C5123,Toys,18.33,PayPal,3/6/2025
T000457,C5000,Clothing,95.97,Credit Card,3/25/2025
T000458,C9819,Beauty,24.19,Credit Card,8/28/2024
T000459,C3820,Beauty,6.22,Crypto,7/21/2024
T000460,C9643,Home,87.82,Crypto,10/31/2024
T000461,C5348,Clothing,55.93,PayPal,8/14/2024
T000462,C5914,Electronics,58.58,Credit Card,12/28/2024
T000463,C9798,Clothing,83.59,Crypto,11/11/2024
T000464,C1797,Toys,37.87,Gift Card,10/22/2024
T000465,C1745,Home,295.76,Credit Card,8/1/2024
T000466,C3417,Home,34.89,Credit Card,5/1/2025
T000467,C8884,Home,3.54,PayPal,5/27/2025
T000468,C9044,Toys,126,Credit Card,6/7/2025
T000469,C2845,Clothing,10.96,Gift Card,3/29/2025
T000470,C8002,Electronics,60.4,Credit Card,5/22/2025
T000471,C4705,Clothing,122.84,Credit Card,11/20/2024
T000472,C1630,Clothing,3.42,Credit Card,9/29/2024
T000473,C2934,Electronics,65.25,Credit Card,3/2/2025
T000474,C6387,Beauty,76.37,Gift Card,6/7/2025
T000475,C1460,Clothing,67.62,Crypto,11/16/2024
T000476,C2183,Beauty,56.38,Credit Card,5/1/2025
T000477,C6441,Toys,21.99,Credit Card,8/11/2024
T000478,C8419,Toys,24.97,PayPal,4/15/2025
T000479,C3417,Toys,27.88,Crypto,8/5/2024
T000480,C2936,Clothing,125.78,Gift Card,10/30/2024
T000481,C2998,Home,32.28,Credit Card,1/28/2025
